"id","appid","screenname","previousscreen","nextscreen","sessionid","appversion","osversion","devicemodel","screentime","starttime","createdon","uxcamuserid","totalgesture","isdeleted"
3095484,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9f1c3b8f6df4002488632e","1.0","6.0","CAM-UL00","7.203","0","2018-09-17 03:15:16.449","5b977652c3fe9a232a28d625",1,False
3095483,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","Exit","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","3.35","9.05","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",0,False
3095482,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","0.658","8.392","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",0,False
3095481,"5b977587fca8910023119de2","MainActivity","ActivityCrash","ActivityOcclude","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","0.85","7.542","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",1,False
3095480,"5b977587fca8910023119de2","ActivityCrash","MainActivity","MainActivity","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","0.679","6.863","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",0,False
3095479,"5b977587fca8910023119de2","MainActivity","ActivityCustomEvents","ActivityCrash","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","0.889","5.974","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",1,False
3095478,"5b977587fca8910023119de2","ActivityCustomEvents","MainActivity","MainActivity","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","0.946","5.028","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",0,False
3095477,"5b977587fca8910023119de2","MainActivity","Launch","ActivityCustomEvents","5b9f1c288f6df4002488632d","1.0","6.0","CAM-UL00","5.028","0","2018-09-17 03:15:02.717","5b977652c3fe9a232a28d625",2,False
3095476,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9f1c088f6df4002488632b","1.0","6.0","CAM-UL00","22.76","0","2018-09-17 03:14:42.633","5b977652c3fe9a232a28d625",10,False
3074425,"5b977587fca8910023119de2","MainActivity","ActivityUserDetails","Exit","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","50.93","52.625","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074424,"5b977587fca8910023119de2","ActivityUserDetails","MainActivity","MainActivity","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","0.94","51.685","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074423,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","ActivityUserDetails","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","1.244","50.441","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",1,False
3074422,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","0.777","49.664","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074421,"5b977587fca8910023119de2","MainActivity","ActivityScreenAction","ActivityOcclude","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","22.633","27.031","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",1,False
3074420,"5b977587fca8910023119de2","ActivityScreenAction","MainActivity","MainActivity","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","0.693","26.338","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074419,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","ActivityScreenAction","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","20.043","6.295","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",1,False
3074418,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","0.859","5.436","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074417,"5b977587fca8910023119de2","MainActivity","ActivityCustomEvents","ActivityOcclude","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","1.384","4.052","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",1,False
3074416,"5b977587fca8910023119de2","ActivityCustomEvents","MainActivity","MainActivity","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","0.854","3.198","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074415,"5b977587fca8910023119de2","MainActivity","ActivityUserDetails","ActivityCustomEvents","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","1.077","2.121","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",1,False
3074414,"5b977587fca8910023119de2","ActivityUserDetails","MainActivity","MainActivity","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","0.833","1.288","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",0,False
3074413,"5b977587fca8910023119de2","MainActivity","Launch","ActivityUserDetails","5b9b41258f6df4002488536e","1.0","6.0","CAM-UL00","1.288","0","2018-09-14 05:05:18.821","5b977652c3fe9a232a28d625",1,False
3074405,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9b40368f6df40024885365","1.0","6.0","CAM-UL00","26.815","0","2018-09-14 05:00:05.428","5b977652c3fe9a232a28d625",7,False
3074404,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9b40388f6df40024885366","1.0","6.0","CAM-UL00","22.982","0","2018-09-14 04:59:38.009","5b977652c3fe9a232a28d625",10,False
2712331,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9a39cb8f6df40024875588","1.0","6.0","CAM-UL00","10.286","0","2018-09-13 11:00:12.358","5b977652c3fe9a232a28d625",0,False
2712249,"5b977587fca8910023119de2","ActivityCrash","MainActivity","Exit","5b9a39c58f6df40024875587","1.0","6.0","CAM-UL00","7.374","3.739","2018-09-13 11:00:12.13","5b977652c3fe9a232a28d625",0,False
2712248,"5b977587fca8910023119de2","MainActivity","Launch","ActivityCrash","5b9a39c58f6df40024875587","1.0","6.0","CAM-UL00","3.739","0","2018-09-13 11:00:12.13","5b977652c3fe9a232a28d625",1,False
2712215,"5b977587fca8910023119de2","MainActivity","ActivityUserDetails","Exit","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","20.606","18.592","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",0,False
2712214,"5b977587fca8910023119de2","ActivityUserDetails","MainActivity","MainActivity","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","1.017","17.575","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",0,False
2712213,"5b977587fca8910023119de2","MainActivity","ActivityCrash","ActivityUserDetails","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","1.605","15.97","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",1,False
2712212,"5b977587fca8910023119de2","ActivityCrash","MainActivity","MainActivity","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","1.169","14.801","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",0,False
2712211,"5b977587fca8910023119de2","MainActivity","ActivityGesture","ActivityCrash","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","13.933","0.868","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",6,False
2712210,"5b977587fca8910023119de2","ActivityGesture","Launch","MainActivity","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","0.868","0","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",0,False
2706200,"5b977587fca8910023119de2","MainActivity","ActivityScreenAction","Exit","5b9a3a3b8f6df4002487558d","1.0","6.0","CAM-UL00","2.601","0.502","2018-09-13 10:59:57.33","5b977652c3fe9a232a28d625",0,False
2706199,"5b977587fca8910023119de2","ActivityScreenAction","Launch","MainActivity","5b9a3a3b8f6df4002487558d","1.0","6.0","CAM-UL00","0.502","0","2018-09-13 10:59:57.33","5b977652c3fe9a232a28d625",0,False
2706175,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9a39c38f6df40024875586","1.0","6.0","CAM-UL00","3.303","0","2018-09-13 10:59:57.295","5b977652c3fe9a232a28d625",0,False
2706155,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9a39df8f6df4002487558a","1.0","6.0","CAM-UL00","14.575","0","2018-09-13 10:59:57.273","5b977652c3fe9a232a28d625",12,False
2247420,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","Exit","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","3.176","10.282","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247419,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","1.835","8.447","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247418,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","ActivityOcclude","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","1.473","6.974","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247417,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.897","6.077","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247416,"5b977587fca8910023119de2","MainActivity","ActivitySessionProperties","ActivityOcclude","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","2.547","3.53","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247415,"5b977587fca8910023119de2","ActivitySessionProperties","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.802","2.728","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247414,"5b977587fca8910023119de2","MainActivity","ActivityUserDetails","ActivitySessionProperties","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.972","1.756","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247413,"5b977587fca8910023119de2","ActivityUserDetails","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","1.25","0.506","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247412,"5b977587fca8910023119de2","MainActivity","Launch","ActivityUserDetails","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.506","0","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247411,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b977645ac48e800247db995","1.0","6.0","CAM-UL00","11.3","0","2018-09-11 08:01:22.65","5b977652c3fe9a232a28d625",5,False
