"sessionid","appid","orgid","platform","appversion","sdkversion","deviceid","devicemodel","devicemarketingname","devicemanufacturer","deviceclass","devicewidth","deviceheight","devicedpi","isdevicerooted","isdevicenotificationenabled","devicetotalram","devicefreeram","devicestorage","devicecountry","devicelanguage","deviceosname","deviceosversion","devicecarriername","devicecarriercode","totalsessiontime","isfavourite","iscrashed","isoffline","recordedon","uploadedon","country","countrycode","city","latitude","longitude","sessionrun","isplayed","apiversion","totalgesture","totalscreen","isvideoavailable","uxcamuserid","usersessionrun","devicelocaldatetime","totaluniquescreen","uniquescreen","isdeleted","eventlist"
"5b9f1c3b8f6df4002488632e","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","546","546","10642","India","English"," M","6.0","Ncell","42902","7.203",False,False,False,"2018-09-17 03:15:05.006","2018-09-17 03:15:16.409","Nepal","NP","","27.7167","85.3167","14",False,"v4",1,1,True,"5b977652c3fe9a232a28d625",14,"2018-09-17 09:00:05",1,"[u'mainactivity']",False,""
"5b9f1c288f6df4002488632d","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","548","548","10642","India","English"," M","6.0","Ncell","42902","12.4",False,False,False,"2018-09-17 03:14:45.892","2018-09-17 03:15:02.615","Nepal","NP","","27.7167","85.3167","13",False,"v4",4,7,True,"5b977652c3fe9a232a28d625",13,"2018-09-17 08:59:45",7,"[u'mainactivity', u'activitycustomevents', u'mainactivity', u'activitycrash', u'mainactivity', u'activityocclude', u'mainactivity']",False,""
"5b9f1c088f6df4002488632b","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","552","552","10642","India","English"," M","6.0","Ncell","42902","22.76",False,False,False,"2018-09-17 03:14:14.774","2018-09-17 03:14:42.557","Nepal","NP","","27.7167","85.3167","12",False,"v4",10,1,True,"5b977652c3fe9a232a28d625",12,"2018-09-17 08:59:14",1,"[u'mainactivity']",False,""
"5b9b40368f6df40024885365","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","533","533","10642","India","English"," M","6.0","Ncell","42902","26.815",False,False,False,"2018-09-14 04:59:31.939","2018-09-14 05:00:05.319","Nepal","NP","","27.7167","85.3167","10",False,"v4",7,1,True,"5b977652c3fe9a232a28d625",10,"2018-09-14 10:44:31",1,"[u'mainactivity']",False,""
"5b9b40388f6df40024885366","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","556","556","10642","India","English"," M","6.0","Ncell","42902","22.982",False,False,False,"2018-09-14 04:58:19.724","2018-09-14 04:59:37.887","Nepal","NP","","27.7167","85.3167","9",False,"v4",10,1,True,"5b977652c3fe9a232a28d625",9,"2018-09-14 10:43:19",1,"[u'mainactivity']",False,""
"5b9a39cb8f6df40024875588","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","13","320",False,"","508","508","10642","India","English"," M","6.0","Ncell","42902","10.286",False,False,False,"2018-09-13 10:19:53.012","2018-09-13 11:00:11.759","Nepal","NP","","27.7167","85.3167","8",False,"v4",0,1,True,"5b977652c3fe9a232a28d625",8,"2018-09-13 16:04:53",1,"[u'mainactivity']",False,""
"5b9a39fb8f6df4002487558b","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","13","320",False,"","511","511","10642","India","English"," M","6.0","Ncell","42902","39.198",False,False,False,"2018-09-13 10:20:40.786","2018-09-13 11:00:11.412","Nepal","NP","","27.7167","85.3167","6",False,"v4",7,6,True,"5b977652c3fe9a232a28d625",6,"2018-09-13 16:05:40",6,"[u'activitygesture', u'mainactivity', u'activitycrash', u'mainactivity', u'activityuserdetails', u'mainactivity']",False,""
"5b9a39c58f6df40024875587","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","384","384","10642","India","English"," M","6.0","Ncell","42902","11.113",False,True,False,"2018-09-13 10:19:01.032","2018-09-13 11:00:11.439","Nepal","NP","","27.7167","85.3167","7",False,"v4",1,2,False,"5b977652c3fe9a232a28d625",7,"2018-09-13 16:04:01",2,"[u'mainactivity', u'activitycrash']",False,""
"5b9a39df8f6df4002487558a","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","511","511","10642","India","English"," M","6.0","Ncell","42902","14.575",False,False,False,"2018-09-13 10:20:13.703","2018-09-13 10:59:56.793","Nepal","NP","","27.7167","85.3167","4",False,"v4",12,1,True,"5b977652c3fe9a232a28d625",4,"2018-09-13 16:05:13",1,"[u'mainactivity']",False,""
"5b9a3a3b8f6df4002487558d","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","13","320",False,"","516","516","10642","India","English"," M","6.0","Ncell","42902","3.103",False,False,False,"2018-09-13 10:21:45.163","2018-09-13 10:59:56.928","Nepal","NP","","27.7167","85.3167","5",False,"v4",0,2,True,"5b977652c3fe9a232a28d625",5,"2018-09-13 16:06:45",2,"[u'activityscreenaction', u'mainactivity']",False,""
"5b9a39c38f6df40024875586","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","13","320",False,"","504","504","10642","India","English"," M","6.0","Ncell","42902","3.303",False,False,False,"2018-09-13 10:19:45.156","2018-09-13 10:59:56.808","Nepal","NP","","27.7167","85.3167","3",False,"v4",0,1,True,"5b977652c3fe9a232a28d625",3,"2018-09-13 16:04:45",1,"[u'mainactivity']",False,""
"5b9a39fc8f6df4002487558c","5b977587fca8910023119de2","5b84d642fca891006f2585d2","","","","","","","","","","","",False,False,"","","","","","","","","","0",False,False,False,"","2018-09-13 10:59:53.913834","","","","0","0","",False,"",0,0,True,"","","",0,"",False,""
"5b977661ac48e800247db996","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","688","688","10642","India","English"," M","6.0","Ncell","42902","13.458",False,False,False,"2018-09-11 08:01:36.426","2018-09-11 08:01:52.313","Nepal","NP","","27.7167","85.3167","2",False,"v4",4,9,True,"5b977652c3fe9a232a28d625",2,"2018-09-11 13:46:36",9,"[u'mainactivity', u'activityuserdetails', u'mainactivity', u'activitysessionproperties', u'mainactivity', u'activityocclude', u'mainactivity', u'activityocclude', u'mainactivity']",False,""
"5b977645ac48e800247db995","5b977587fca8910023119de2","5b84d642fca891006f2585d2",1,"1.0","3.0.0-alpha-60","77920e3a53ce5da2","CAM-UL00","CAM-UL00","HUAWEI","Android Xlarge","720","1208","320",False,"","695","695","10642","India","English"," M","6.0","Ncell","42902","11.3",False,False,False,"2018-09-11 08:01:08.917","2018-09-11 08:01:22.523","Nepal","NP","","27.7167","85.3167","1",False,"v4",5,1,True,"5b977652c3fe9a232a28d625",1,"2018-09-11 13:46:08",1,"[u'mainactivity']",False,""
